,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
21,Post Malone,Hollywood's Bleeding,Circles,21jGcNKet2qwijlDFuPiPb,0.695,0.762,0,-3.497,1,0.0395,0.00244,0.0863,0.553,120.042,215280,4
22,Jason Aldean,9,Got What I Got,4TCc369aRPRubv1m8R1TBG,0.512,0.58,3,-6.658,0,0.029,1.72E-05,0.513,0.303,159.847,178147,3
23,Juice WRLD,Legends Never Die,Come & Go (with Marshmello),7y7w4tl4MaRC2UMEj1mPtr,0.625,0.814,0,-5.181,1,0.0657,0,0.158,0.535,144.991,205485,4
24,Travis Scott,FRANCHISE (feat. Young Thug & M.I.A.),FRANCHISE (feat. Young Thug & M.I.A.),4jVBIpuOiMj1crqd8LoCrJ,0.835,0.699,8,-5.405,0,0.277,0,0.195,0.547,154.981,202795,4
25,21 Savage,SAVAGE MODE II,Rich Nigga Shit (feat. Young Thug),3ruoIF2UnoXdzK8mR61ebq,0.825,0.733,1,-5.625,0,0.0969,0,0.112,0.62,97.974,190331,4
26,Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,2.58E-05,0.126,0.322,86.97,191406,4
27,Harry Styles,Adore You,Adore You,1M4qEo4HE3PRaCOM7EXNJq,0.676,0.771,8,-3.675,1,0.0483,7.00E-06,0.102,0.569,99.048,207133,4
28,Dua Lipa,Future Nostalgia,Break My Heart,017PF4Q3l4DBUiWoXk4OWT,0.73,0.729,4,-3.434,0,0.0883,1.39E-06,0.349,0.467,113.013,221820,4
29,Megan Thee Stallion,Don’t Stop (feat. Young Thug),Don’t Stop (feat. Young Thug),3yv7994DWTEk3ihwy75YBQ,0.933,0.757,2,-3.212,1,0.117,0,0.135,0.544,137.993,187941,4
30,SAINt JHN,Roses (Imanbek Remix),Roses - Imanbek Remix,7fPuWrlpwDcHm5aHCH5D9t,0.785,0.721,8,-5.457,1,0.0506,0.00432,0.285,0.894,121.962,176219,4
31,21 Savage,SAVAGE MODE II,Slidin,7fxSLnklnayJNBIKntXedZ,0.774,0.706,2,-6.494,1,0.355,1.28E-06,0.104,0.382,152.891,185037,4
32,21 Savage,SAVAGE MODE II,Many Men,3CDVMejYHnB1SkEEx0T1N4,0.635,0.793,10,-4.333,0,0.0322,0.747,0.113,0.281,77.594,201856,4
33,DJ Khaled,POPSTAR (feat. Drake),POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,0.8,0.56,5,-4.818,0,0.261,0,0.134,0.45,163.071,200221,4
34,AJR,Bang!,Bang!,53BHUFdQphHiZUUG3nx9zn,0.74,0.516,1,-6.233,0,0.0507,0,0.0558,0.698,139.918,170858,4
35,Pop Smoke,Shoot For The Stars Aim For The Moon,Mood Swings (feat. Lil Tjay),5rZlwNFl01HqLWBQGryKSm,0.48,0.602,10,-6.335,0,0.368,0,0.0848,0.269,179.798,213333,4
36,Why Don't We,Fallin',Fallin',5GhJIMWAw0uMLgkdbt6uMz,0.606,0.9,0,-4.504,1,0.119,0,0.075,0.233,133.963,216504,4
37,Morgan Wallen,More Than My Hometown,More Than My Hometown,6FniJZn4agmDtPx1pKZQsa,0.621,0.882,6,-5.01,1,0.0459,0,0.132,0.574,126.014,216573,4
38,Dua Lipa,Don't Start Now,Don't Start Now,6WrI0LAC5M1Rw2MnX2ZvEg,0.794,0.793,11,-4.521,0,0.0842,0,0.0952,0.677,123.941,183290,4
39,Luke Combs,What You See Is What You Get,Lovin' On You,0nYvjcSlCgjcwogQAwIwNp,0.572,0.949,4,-4.865,1,0.06,0.000195,0.163,0.53,118.974,194867,4
40,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.00188,0.393,0.33,112.05,176547,4
41,Pop Smoke,Shoot For The Stars Aim For The Moon,The Woo (feat. 50 Cent & Roddy Ricch),1H7KnK26kc1YyellpbINEn,0.49,0.618,1,-5.655,1,0.104,3.77E-06,0.259,0.286,99.7,201600,4
42,JP Saxe,If the World Was Ending (feat. Julia Michaels),If the World Was Ending - feat. Julia Michaels,2kJwzbxV2ppxnQoYw4GLBZ,0.464,0.473,1,-10.086,1,0.129,0,0.109,0.604,75.801,208687,4
43,Pop Smoke,Shoot For The Stars Aim For The Moon,What You Know Bout Love,1tkg4EHVoqnhR6iFEXb60y,0.709,0.548,10,-8.493,1,0.353,1.59E-06,0.133,0.543,83.995,160000,4
44,Jameson Rodgers,Jameson Rodgers,Some Girls,54eUv9Q3D9MZuOGS5PSflp,0.431,0.831,8,-5.108,1,0.0474,0,0.312,0.352,167.96,184893,4
45,Ava Max,Kings & Queens,Kings & Queens,76nqCfJOcFFWBJN32PAksn,0.638,0.688,1,-4.056,0,0.0407,0,0.126,0.434,129.856,162399,4
46,Saweetie,Tap In,Tap In,4Hpib09wXgD84w4uwTPnYD,0.954,0.696,10,-7.117,0,0.204,0.000498,0.0754,0.432,100.036,139413,4
47,Bryson Tiller,A N N I V E R S A R Y,Outta Time (feat. Drake),0LGtMvQJ37SsEYbkP6TcVJ,0.714,0.582,5,-7.272,0,0.0808,0,0.0774,0.338,92.819,198822,4
48,Rod Wave,Pray 4 Love,Rags2Riches (feat. ATR Son Son),1ENdcyhqdylaLsPVgB83qq,0.904,0.252,5,-17.54,0,0.11,0,0.104,0.227,117.994,167184,4
49,Machine Gun Kelly,my ex's best friend (with blackbear),my ex's best friend (with blackbear),70rFIfYN7lU6iTgUIVP42w,0.728,0.685,5,-5.096,0,0.0433,0,0.152,0.33,124.934,138970,4
50,Moneybagg Yo,Said Sum,Said Sum,45npF3MKvCa1sO7s4y7qBf,0.929,0.667,8,-6.789,0,0.353,0,0.1,0.274,126.998,155168,4
51,HIXTAPE,HIXTAPE: Vol. 1,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",5FmvaZGd6fulojSToozLRD,0.516,0.745,2,-8.352,1,0.0774,0,0.275,0.825,186.004,173173,3
52,Tim McGraw,I Called Mama,I Called Mama,3YuvAPidBWldqjagOryo40,0.501,0.63,2,-7.018,1,0.0329,4.33E-06,0.151,0.542,86.186,211577,4
53,Dan + Shay,I Should Probably Go To Bed,I Should Probably Go To Bed,5ovVcYo2MvjVydFwFyaaqy,0.721,0.277,1,-7.128,1,0.0365,0,0.112,0.309,131.935,171827,4
54,Miley Cyrus,Midnight Sky,Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,0.705,0.814,4,-5.466,0,0.0346,0.00312,0.203,0.259,110,223279,4
55,21 Savage,SAVAGE MODE II,My Dawg,42Tohunwlh34o0mgxYx5iq,0.831,0.532,0,-5.319,0,0.301,0,0.464,0.364,140.105,181716,4
56,21 Savage,SAVAGE MODE II,Brand New Draco,4V9ynsDPwHtdItksqjuRu0,0.697,0.709,11,-6.642,0,0.298,0.000296,0.0886,0.439,155.023,202420,4
57,Blake Shelton,Happy Anywhere (feat. Gwen Stefani),Happy Anywhere (feat. Gwen Stefani),2DwbFtfC6sXBiVDPmju8Dd,0.538,0.745,8,-5.774,1,0.0387,0,0.063,0.669,165.755,170173,4
58,BLACKPINK,THE ALBUM,Lovesick Girls,4Ws314Ylb27BVsvlZOy30C,0.658,0.733,6,-4.756,1,0.0586,0,0.118,0.464,127.977,192760,4
59,Money Man,24 (feat. Lil Baby),24 (feat. Lil Baby),7v96VvFLS0wSYT8kewNLRy,0.868,0.638,2,-7.746,1,0.0736,0.0565,0.0931,0.459,126.03,182857,4
60,21 Savage,SAVAGE MODE II,Snitches & Rats (feat. Young Nudy),3WaDoMDQRqDdgtCDLxanpN,0.821,0.671,9,-5.893,1,0.18,8.50E-05,0.0972,0.494,145.953,187773,4
61,Juice WRLD,Legends Never Die,Wishing Well,6o3QUC5oAE4g6WxRIFcZtb,0.65,0.613,9,-6.13,0,0.128,0,0.267,0.0804,149.972,194621,4
62,Parker McCollum,Pretty Heart,Pretty Heart,6vC90OOjZR165Hw8CpsqEm,0.562,0.683,7,-4.427,1,0.0296,0,0.107,0.385,132.003,244798,4
63,BLACKPINK,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),2J4P46vCFm1rPkNkp9pZWX,0.79,0.729,9,-3.843,1,0.334,9.31E-05,0.0411,0.904,159.989,175813,4
64,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0,0.323,0.646,123.056,182200,4
65,Maluma,Hawái,Hawái,4uoR6qeWeuL4Qeu2qJzkuG,0.787,0.728,6,-3.455,0,0.389,2.29E-05,0.0629,0.545,180.066,200198,4
66,Morgan Wallen,7 Summers,7 Summers,0Z0kNthq0sS4lvGz9SSlBF,0.625,0.775,0,-5.199,1,0.0248,5.23E-05,0.12,0.588,101.961,210123,4
67,Russell Dickerson,Love You Like I Used To,Love You Like I Used To,1D7cfiC5mxqHfTCcOiRBej,0.501,0.788,10,-4.624,1,0.0415,0,0.137,0.61,152.047,186613,4
68,Conan Gray,Kid Krow,Heather,4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0,0.322,0.27,102.078,198040,3
69,Kane Brown,Cool Again,Cool Again,5P3oaNpPDVLRJsL3152SEs,0.608,0.735,4,-5.497,1,0.0371,1.69E-06,0.361,0.773,90.007,164668,4
70,21 Savage,SAVAGE MODE II,No Opp Left Behind,50I7FNN2rl2rWiNwGxS146,0.823,0.703,8,-2.691,1,0.298,1.35E-06,0.294,0.26,178.043,194214,4
71,Tate McRae,you broke me first,you broke me first,45bE4HXI0AwGZXfZtMp8JR,0.642,0.374,4,-9.386,1,0.0545,0,0.0906,0.0799,124.099,169266,4
72,Dua Lipa,Levitating (feat. DaBaby),Levitating (feat. DaBaby),463CkQjx2Zk1yXoBuierM9,0.702,0.825,6,-3.787,0,0.0601,0,0.0674,0.915,102.977,203064,4
73,21 Savage,SAVAGE MODE II,Steppin On Niggas,7FtZFla3ZH6PqsAJ9MvVCM,0.849,0.635,7,-4.068,1,0.254,8.44E-06,0.062,0.798,89.484,140833,4
74,Jon Pardi,Heartache Medication,Ain't Always The Cowboy,77XoAnllT85lmR9WP0D8dS,0.539,0.837,9,-3.458,1,0.0385,0,0.262,0.551,151.913,220881,4
75,21 Savage,SAVAGE MODE II,RIP Luv,1wGnp7ejkCuXRsehXx0PNP,0.63,0.399,5,-9.869,0,0.178,0.174,0.234,0.0657,183.016,214192,3
76,Taylor Swift,folklore,cardigan,4LEK9rD7TWIG4FCL1s27XC,0.613,0.581,0,-8.588,0,0.0424,0.000345,0.25,0.551,130.033,239560,4
77,Topic,Breaking Me,Breaking Me,3H7ihDc1dqLriiWXwsc2po,0.789,0.72,8,-5.652,0,0.218,0,0.129,0.664,122.031,166794,4
78,Matt Stell,Everywhere But On,Everywhere But On,0ifYeH4gNXEyba41xr3I1w,0.563,0.722,6,-3.972,1,0.0279,0,0.0795,0.309,149.903,192587,4
79,Sam Smith,Diamonds,Diamonds,5hvwx5i67IwnCkjl9VHkNv,0.653,0.667,10,-6.764,0,0.0423,0,0.107,0.556,104.181,213869,4
80,Chris Stapleton,Starting Over,Starting Over,3TNSVsiFngfe68UJpMq1oS,0.638,0.538,10,-8.445,1,0.0315,0.000415,0.0695,0.318,89.124,240413,4
81,Marshmello,OK Not To Be OK,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,0.743,0.837,1,-5.025,0,0.0649,0,0.0743,0.263,103.072,159863,4
82,Bryson Tiller,A N N I V E R S A R Y,Always Forever,1LV5cAo02H8h5YlZNcjULM,0.605,0.489,10,-7.234,0,0.174,2.36E-06,0.187,0.326,147.341,170053,4
83,Bryson Tiller,A N N I V E R S A R Y,Years Go By,4SVTus5gJc5cfkFZ8ELK1p,0.374,0.577,1,-7.085,1,0.302,5.60E-06,0.562,0.0658,184.201,179976,4
84,J Balvin,UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),0EhpEsp4L0oRGM0vmeaN5e,0.571,0.693,6,-8.234,0,0.0545,0,0.173,0.393,168.169,232253,4
85,Polo G,THE GOAT,Martin & Gina,1VLtjHwRWOVJiE5Py7JxoQ,0.832,0.534,1,-7.813,0,0.253,0,0.165,0.116,93.924,132833,4
86,SZA,Hit Different,Hit Different,7Bar1kLTmsRmH6FCKKMEyU,0.679,0.516,0,-6.371,0,0.0452,0,0.0965,0.716,120.074,202008,4
87,DJ Khaled,GREECE (feat. Drake),GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,0.695,0.343,5,-10.798,1,0.0432,1.04E-06,0.107,0.229,85.84,218902,4
88,Lil Baby,The Bigger Picture,The Bigger Picture,44gRhRi2OhEf7moAUj6MD1,0.59,0.618,1,-5.756,1,0.334,0,0.244,0.153,96.459,252729,3
89,Machine Gun Kelly,Tickets To My Downfall,bloody valentine,6mADjHs6FXdroPzEGW6KVJ,0.533,0.858,2,-4.212,1,0.0766,0,0.148,0.506,160.057,205159,4
90,21 Savage,SAVAGE MODE II,Said N Done,11XegnWeJHBDtj9IsNwngu,0.775,0.566,11,-6.661,1,0.283,0.000341,0.127,0.479,160.351,231831,4
91,Sech,Relación (Remix),Relación - Remix,35UUpTmrcFXNIVIN26ujXl,0.793,0.771,5,-3.417,1,0.0959,1.51E-06,0.284,0.835,171.943,247308,4
92,Polo G,Epidemic,Epidemic,170DNUSnQRp1tGpppF26pA,0.616,0.617,1,-8.431,1,0.52,0,0.177,0.476,175.929,177273,4
93,Chloe x Halle,Do It,Do It,1bRjwdtScY2eMe9uMmsOkG,0.701,0.668,5,-7.287,0,0.0516,2.09E-06,0.111,0.553,82.978,176787,4
94,Megan Thee Stallion,Girls in the Hood,Girls in the Hood,6WbTTAGKrQtCQvmc5BuYfh,0.821,0.863,6,-3.159,1,0.353,0,0.0377,0.874,180.013,154324,4
95,Machine Gun Kelly,Tickets To My Downfall,forget me too (feat. Halsey),1VSuFS7PahCN3SWbOcQ98m,0.654,0.875,1,-4.845,1,0.0744,0.0086,0.194,0.522,99.975,171621,4
96,Jhené Aiko,Chilombo,B.S. (feat. H.E.R.),63wx9vdskaXbYxyDx4oJCZ,0.617,0.525,8,-10.426,0,0.12,1.10E-06,0.135,0.377,135.781,212867,4
97,YoungBoy Never Broke Again,Top,Kacey Talk,1SF8piqsZWn86DajVKih8F,0.877,0.607,10,-7.818,0,0.15,0,0.138,0.773,127.055,151249,4
98,DaBaby,BLAME IT ON BABY (DELUXE),BLIND (feat. Young Thug),2T5NBwKRySiCR78vVk08vr,0.709,0.679,11,-6.503,0,0.346,0,0.0971,0.754,162.973,153467,4
99,Ozuna,Caramelo,Caramelo,3gD4J3RUHy4OUuZ3qAiaiG,0.728,0.806,6,-3.766,1,0.0623,0.000301,0.153,0.698,168.084,217547,4
